Entry ID,US entry name,Element ID,[Element name],Order by prio.,Occ. flags,[Menu],[Battle],[Ship battle],Effect ID,[Effect name],Scope ID,[Scope name],Category ID,[Category name],Effect priority,Effect spirit,Pad. #0,Pad. #1,Effect value,Type ID,[Type name],State ID,[State name],State hit%,Pad. #2,Pad. #3,Pad. #4,Ship occ. ID,[Ship occ. name],Pad. #5,Ship effect ID,[Ship effect name],Ship effect spirit,Ship effect turns,Ship effect amount,Unk.,Pad. #6,Pad. #7,Pad. #8,[US descr. pos.],[US descr. size],US descr. str.,[US ship descr. pos.],[US ship descr. size],US ship descr. str.
13,Quika,3,Blue,70,3,"",X,X,20,Add Quickened,2,All characters,6,Magic,0,6,0,0,65535,1,Magical,-1,None,0,0,0,0,1,Always,0,104,Add Quickened (Ship),6,1,0,-1,0,0,0,2911036,96,"Doubles the speed of all allies. Also, it makes\nit easier to run from battles.",2951356,72,Doubles ship speed.\nEffect lasts for 2 rounds.
14,Curia,5,Silver,80,2,"",X,"",30,Remove negative states,1,One character,6,Magic,0,1,0,0,65535,1,Magical,-1,None,0,0,0,0,-1,Never,0,-1,None,-1,-1,0,-1,0,0,0,2911132,96,Cures one ally of all adverse effects (except\nfor Unconscious).,0,0,""
15,Risan,5,Silver,90,2,"",X,"",27,Revive with 50% of HP,1,One character,6,Magic,0,2,0,0,0,1,Magical,7,Revival,0,0,0,0,-1,Never,0,-1,None,-1,-1,0,-1,0,0,0,2911228,100,"Has a 99% chance of reviving an Unconscious\nally, along with 50% of their HP.",0,0,""
16,Riselem,5,Silver,91,2,"",X,"",28,Revive with 100% of HP,1,One character,6,Magic,0,4,0,0,0,1,Magical,7,Revival,0,0,0,0,-1,Never,0,-1,None,-1,-1,0,-1,0,0,0,2911328,96,Revives an Unconscious ally and restores their\nHP to full.,0,0,""
17,Eterni,5,Silver,100,2,"",X,"",5,Add Unconscious,3,One enemy,6,Magic,0,5,0,0,0,1,Magical,1,Unconscious,50,0,0,0,-1,Never,0,-1,None,-1,-1,0,-1,0,0,0,2911424,96,Can instantly kill any one enemy. May not work\non some powerful monsters or bosses.,0,0,""
18,Eternes,5,Silver,101,2,"",X,"",5,Add Unconscious,4,All enemies,6,Magic,0,10,0,0,0,1,Magical,1,Unconscious,50,0,0,0,-1,Never,0,-1,None,-1,-1,0,-1,0,0,0,2911520,96,Can cause instant death to all enemies on the\nscreen.,0,0,""
19,Eternum,5,Silver,102,2,"",X,"",6,Add Unconscious + Damage #1,3,One enemy,6,Magic,0,15,0,0,250,1,Magical,1,Unconscious,50,0,0,0,-1,Never,0,-1,None,-1,-1,0,-1,0,0,0,2911616,100,"Causes instant death to one enemy. If target is\nimmune, then it will cause damage.",0,0,""
20,Wevli,3,Blue,60,3,"",X,X,0,Damage,32,Enemy area #0,6,Magic,0,2,0,0,60,1,Magical,-1,None,0,0,0,0,0,Magic Cannon,0,107,Damage (Ship),2,-1,60,4,0,0,0,2911716,96,Damages one enemy with a whirlwind of air and\nwater. Also harms nearby enemies.,2951428,96,Fires a cannonball charged with Blue Magic.\nSpecial equipment is needed to cast.
21,Wevles,3,Blue,61,3,"",X,X,0,Damage,33,Enemy area #1,6,Magic,0,4,0,0,105,1,Magical,-1,None,0,0,0,0,0,Magic Cannon,0,107,Damage (Ship),4,-1,90,4,0,0,0,2911812,96,Creates a large tornado around one enemy and\ndamages all enemies nearby.,2951524,96,Fires a cannonball charged with Blue Magic.\nSpecial equipment is needed to cast.
22,Wevlen,3,Blue,63,3,"",X,X,0,Damage,34,Enemy area #2,6,Magic,0,8,0,0,195,1,Magical,-1,None,0,0,0,0,0,Magic Cannon,0,107,Damage (Ship),8,-1,150,4,0,0,0,2911908,96,Creates a cluster of tornados around one enemy\nand damages nearly all enemies on screen.,2951620,96,Fires a cannonball charged with Blue Magic.\nSpecial equipment is needed to cast.
23,Pyri,1,Red,0,3,"",X,X,0,Damage,4,All enemies,6,Magic,0,2,0,0,50,1,Magical,-1,None,0,0,0,0,0,Magic Cannon,0,107,Damage (Ship),2,-1,60,1,0,0,0,2912004,96,"Summons a burst of flames, damaging all enemies\non screen.",2951716,92,Fires a cannonball charged with Red Magic.\nSpecial equipment is needed to cast.
24,Pyres,1,Red,1,3,"",X,X,0,Damage,4,All enemies,6,Magic,0,4,0,0,85,1,Magical,-1,None,0,0,0,0,0,Magic Cannon,0,107,Damage (Ship),4,-1,90,1,0,0,0,2912100,92,Summons a great explosion and damages all\nenemies on screen.,2951808,92,Fires a cannonball charged with Red Magic.\nSpecial equipment is needed to cast.
25,Pyrum,1,Red,2,3,"",X,X,0,Damage,4,All enemies,6,Magic,0,6,0,0,120,1,Magical,-1,None,0,0,0,0,0,Magic Cannon,0,107,Damage (Ship),6,-1,120,1,0,0,0,2912192,92,Summons fireballs from the sky and damages\nall enemies on the screen.,2951900,92,Fires a cannonball charged with Red Magic.\nSpecial equipment is needed to cast.
26,Crystali,2,Purple,10,3,"",X,X,0,Damage,3,One enemy,6,Magic,0,1,0,0,70,1,Magical,-1,None,0,0,0,0,0,Magic Cannon,0,107,Damage (Ship),1,-1,30,2,0,0,0,2912284,92,Encases a single enemy in ice. It is quite\npowerful and uses very little Spirit.,2951992,96,Fires a cannonball charged with Purple Magic.\nSpecial equipment is needed to cast.
27,Crystales,2,Purple,11,3,"",X,X,0,Damage,3,One enemy,6,Magic,0,2,0,0,120,1,Magical,-1,None,0,0,0,0,0,Magic Cannon,0,107,Damage (Ship),2,-1,50,2,0,0,0,2912376,96,"Summons an icicle at the foot of a single enemy\nand impales it, causing great damage.",2952088,96,Fires a cannonball charged with Purple Magic.\nSpecial equipment is needed to cast.
28,Crystalum,2,Purple,12,3,"",X,X,0,Damage,3,One enemy,6,Magic,0,3,0,0,170,1,Magical,-1,None,0,0,0,0,0,Magic Cannon,0,107,Damage (Ship),3,-1,70,2,0,0,0,2912472,100,"Traps a single enemy in a column of ice, causing\nan extensive amount of damage.",2952184,96,Fires a cannonball charged with Purple Magic.\nSpecial equipment is needed to cast.
29,Crystalen,2,Purple,13,3,"",X,X,0,Damage,3,One enemy,6,Magic,0,4,0,0,220,1,Magical,-1,None,0,0,0,0,0,Magic Cannon,0,107,Damage (Ship),4,-1,90,2,0,0,0,2912572,96,Huge pillars of ice rain from the sky to impale\none enemy for enormous damage.,2952280,96,Fires a cannonball charged with Purple Magic.\nSpecial equipment is needed to cast.
30,Pyrulen,1,Red,3,3,"",X,X,0,Damage,4,All enemies,6,Magic,0,10,0,0,155,1,Magical,-1,None,0,0,0,0,0,Magic Cannon,0,107,Damage (Ship),10,-1,150,1,0,0,0,2912668,96,Sets the air aflame and engulfs all enemies on\nscreen in a firestorm.,2952376,92,Fires a cannonball charged with Red Magic.\nSpecial equipment is needed to cast.
31,Wevlum,3,Blue,62,3,"",X,X,0,Damage,33,Enemy area #1,6,Magic,0,6,0,0,150,1,Magical,-1,None,0,0,0,0,0,Magic Cannon,0,107,Damage (Ship),6,-1,120,4,0,0,0,2912764,96,Summons a field of fierce winds and stinging\nrain to damage enemies in a large area.,2952468,96,Fires a cannonball charged with Blue Magic.\nSpecial equipment is needed to cast.
32,Electri,4,Yellow,30,3,"",X,X,0,Damage,36,Enemy line #0,6,Magic,0,2,0,0,60,1,Magical,-1,None,0,0,0,0,0,Magic Cannon,0,107,Damage (Ship),2,-1,60,3,0,0,0,2912860,96,"Shoots a bolt of electricity at a target, also\ndamaging any enemies in the way.",2952564,96,Fires a cannonball charged with Yellow Magic.\nSpecial equipment is needed to cast.
33,Electres,4,Yellow,31,3,"",X,X,0,Damage,37,Enemy line #1,6,Magic,0,4,0,0,105,1,Magical,-1,None,0,0,0,0,0,Magic Cannon,0,107,Damage (Ship),4,-1,90,3,0,0,0,2912956,100,Sends a lightning bolt through a line of enemies\ncausing major damage.,2952660,96,Fires a cannonball charged with Yellow Magic.\nSpecial equipment is needed to cast.
34,Electrum,4,Yellow,32,3,"",X,X,0,Damage,37,Enemy line #1,6,Magic,0,6,0,0,150,1,Magical,-1,None,0,0,0,0,0,Magic Cannon,0,107,Damage (Ship),6,-1,120,3,0,0,0,2913056,96,A massive bolt of electricity is shot out and\nhits all enemies in a straight line.,2952756,96,Fires a cannonball charged with Yellow Magic.\nSpecial equipment is needed to cast.
35,Electrulen,4,Yellow,33,3,"",X,X,0,Damage,38,Enemy line #2,6,Magic,0,8,0,0,195,1,Magical,-1,None,0,0,0,0,0,Magic Cannon,0,107,Damage (Ship),8,-1,150,3,0,0,0,2913152,96,The ultimate attack spell. It will cause major\ndamage on all enemies in a straight line.,2952852,96,Fires a cannonball charged with Yellow Magic.\nSpecial equipment is needed to cast.
