Entry ID,[Finalized],Magic EXP,Chara. #0 ID,[Chara. #0 name],Chara. #0 X,Chara. #0 Z,Chara. #1 ID,[Chara. #1 name],Chara. #1 X,Chara. #1 Z,Chara. #2 ID,[Chara. #2 name],Chara. #2 X,Chara. #2 Z,Chara. #3 ID,[Chara. #3 name],Chara. #3 X,Chara. #3 Z,Enemy #0 ID,[JP enemy #0 name],[US enemy #0 name],Enemy #0 X,Enemy #0 Z,Enemy #1 ID,[JP enemy #1 name],[US enemy #1 name],Enemy #1 X,Enemy #1 Z,Enemy #2 ID,[JP enemy #2 name],[US enemy #2 name],Enemy #2 X,Enemy #2 Z,Enemy #3 ID,[JP enemy #3 name],[US enemy #3 name],Enemy #3 X,Enemy #3 Z,Enemy #4 ID,[JP enemy #4 name],[US enemy #4 name],Enemy #4 X,Enemy #4 Z,Enemy #5 ID,[JP enemy #5 name],[US enemy #5 name],Enemy #5 X,Enemy #5 Z,Enemy #6 ID,[JP enemy #6 name],[US enemy #6 name],Enemy #6 X,Enemy #6 Z,Party vigor,Defeat cond. ID,[Defeat cond. name],Escape cond. ID,[Escape cond. name],BGM ID
26,False,0,0,Vyse,5,7,1,Aika,3,7,2,Fina,7,7,-1,None,-1,-1,152,ラミレス,Ramirez,5,3,100,アサシン,Shadow,3,3,100,アサシン,Shadow,7,3,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,158,2,May lose,1,Cannot escape,61
27,False,8,0,Vyse,4,7,1,Aika,5,7,2,Fina,3,8,5,Gilder,6,8,149,ビゴロ,Vigoro,5,4,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,160,1,May try again,1,Cannot escape,61
28,False,8,0,Vyse,4,7,1,Aika,6,7,2,Fina,7,9,5,Gilder,6,8,154,ラプラタヌス,Eliminator,4,3,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,160,1,May try again,1,Cannot escape,60
29,False,8,0,Vyse,4,8,1,Aika,6,8,2,Fina,2,9,3,Drachma,8,9,151,ガルシアン,Galcian,5,2,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,0,0,Must not lose,0,Can escape,61
30,False,10,0,Vyse,4,8,1,Aika,6,8,2,Fina,3,7,3,Drachma,7,7,153,ラミレス,Ramirez,5,2,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,168,1,May try again,1,Cannot escape,61
31,False,0,0,Vyse,4,8,1,Aika,6,8,2,Fina,2,9,3,Drachma,8,9,157,ラミレス,Ramirez,4,2,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,170,1,May try again,1,Cannot escape,62
32,False,2,0,Vyse,5,6,1,Aika,6,7,2,Fina,4,7,-1,None,-1,-1,14,盗掘者シモン,Zivilyn Bane,5,3,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,66,1,May try again,1,Cannot escape,58
33,False,2,0,Vyse,5,6,1,Aika,4,7,2,Fina,6,7,-1,None,-1,-1,24,デシェレト,Magma Tiki,3,4,24,デシェレト,Magma Tiki,5,3,24,デシェレト,Magma Tiki,7,4,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,66,1,May try again,0,Can escape,58
34,False,4,0,Vyse,5,7,1,Aika,3,7,2,Fina,7,7,-1,None,-1,-1,100,アサシン,Shadow,5,3,100,アサシン,Shadow,3,3,100,アサシン,Shadow,7,3,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,158,1,May try again,1,Cannot escape,58
35,False,3,0,Vyse,4,8,1,Aika,6,8,2,Fina,2,9,4,Enrique,8,9,59,ナマトヌカ,Alusphere,1,2,59,ナマトヌカ,Alusphere,7,2,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,130,0,Must not lose,1,Cannot escape,58
36,False,3,0,Vyse,4,8,1,Aika,6,8,2,Fina,3,9,4,Enrique,7,9,59,ナマトヌカ,Alusphere,2,2,59,ナマトヌカ,Alusphere,6,2,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,130,0,Must not lose,1,Cannot escape,58
37,True,1,0,Vyse,4,7,1,Aika,6,7,-1,None,-1,-1,-1,None,-1,-1,4,アーアペプ,Grouder,4,1,3,マロッカ,Marocca,2,5,3,マロッカ,Marocca,3,4,3,マロッカ,Marocca,7,4,3,マロッカ,Marocca,8,5,255,None,None,-1,-1,255,None,None,-1,-1,24,1,May try again,1,Cannot escape,58
38,False,3,0,Vyse,4,8,1,Aika,6,8,2,Fina,2,9,4,Enrique,8,9,60,モノノフ,Soldier,4,3,60,モノノフ,Soldier,6,3,60,モノノフ,Soldier,3,2,60,モノノフ,Soldier,7,2,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,134,0,Must not lose,0,Can escape,59
39,False,2,0,Vyse,4,7,1,Aika,6,7,2,Fina,2,8,3,Drachma,8,8,111,盗掘者シモン,Zivilyn Bane,5,3,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,90,1,May try again,1,Cannot escape,58
40,False,2,0,Vyse,4,8,5,Gilder,6,8,-1,None,-1,-1,-1,None,-1,-1,112,盗掘者シモン,Zivilyn Bane,5,2,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,102,1,May try again,1,Cannot escape,58
41,False,2,0,Vyse,3,8,1,Aika,5,8,2,Fina,2,9,5,Gilder,6,9,113,盗掘者シモン,Zivilyn Bane,4,2,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,110,1,May try again,1,Cannot escape,58
42,False,3,0,Vyse,4,8,1,Aika,6,8,2,Fina,2,9,4,Enrique,8,9,114,盗掘者シモン,Zivilyn Bane,5,2,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,122,1,May try again,1,Cannot escape,59
43,False,3,0,Vyse,3,8,1,Aika,5,8,2,Fina,2,9,4,Enrique,6,9,115,盗掘者シモン,Zivilyn Bane,4,2,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,130,1,May try again,1,Cannot escape,58
44,False,3,0,Vyse,4,8,1,Aika,6,8,2,Fina,2,9,4,Enrique,8,9,116,盗掘者シモン,Zivilyn Bane,5,2,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,142,1,May try again,1,Cannot escape,58
45,False,5,0,Vyse,4,6,1,Aika,6,6,2,Fina,3,7,3,Drachma,7,7,117,盗掘王シモン,Zivilyn Bane,5,2,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,166,1,May try again,1,Cannot escape,58
46,False,5,0,Vyse,4,6,1,Aika,6,6,2,Fina,3,7,4,Enrique,7,7,117,盗掘王シモン,Zivilyn Bane,5,2,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,166,1,May try again,1,Cannot escape,58
47,False,5,0,Vyse,4,6,1,Aika,6,6,2,Fina,3,7,5,Gilder,7,7,117,盗掘王シモン,Zivilyn Bane,5,2,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,166,1,May try again,1,Cannot escape,58
48,False,8,0,Vyse,4,8,1,Aika,6,8,2,Fina,2,9,4,Enrique,8,9,151,ガルシアン,Galcian,5,2,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,0,0,Must not lose,0,Can escape,61
49,False,10,0,Vyse,4,8,1,Aika,6,8,2,Fina,3,7,4,Enrique,7,7,153,ラミレス,Ramirez,5,2,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,168,1,May try again,1,Cannot escape,61
50,False,0,0,Vyse,4,8,1,Aika,6,8,2,Fina,2,9,4,Enrique,8,9,157,ラミレス,Ramirez,4,2,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,170,1,May try again,1,Cannot escape,62
51,False,8,0,Vyse,4,8,1,Aika,6,8,2,Fina,2,9,5,Gilder,8,9,151,ガルシアン,Galcian,5,2,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,164,1,May try again,1,Cannot escape,61
52,False,10,0,Vyse,4,8,1,Aika,6,8,2,Fina,3,7,5,Gilder,7,7,153,ラミレス,Ramirez,5,2,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,168,1,May try again,1,Cannot escape,61
53,False,0,0,Vyse,4,8,1,Aika,6,8,2,Fina,2,9,5,Gilder,8,9,157,ラミレス,Ramirez,4,2,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,170,1,May try again,1,Cannot escape,62
54,False,2,0,Vyse,4,7,5,Gilder,6,7,-1,None,-1,-1,-1,None,-1,-1,102,要塞将兵,Officer,4,2,102,要塞将兵,Officer,6,2,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,106,0,Must not lose,1,Cannot escape,58
55,False,2,0,Vyse,4,8,1,Aika,6,9,5,Gilder,3,9,-1,None,-1,-1,102,要塞将兵,Officer,3,1,102,要塞将兵,Officer,6,1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,106,0,Must not lose,1,Cannot escape,58
56,False,3,0,Vyse,4,7,1,Aika,6,7,2,Fina,3,6,4,Enrique,7,6,71,テンコウ,Tenkou,4,3,71,テンコウ,Tenkou,6,3,71,テンコウ,Tenkou,3,4,71,テンコウ,Tenkou,7,4,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,134,0,Must not lose,0,Can escape,58
57,False,3,0,Vyse,4,7,1,Aika,6,7,2,Fina,3,6,4,Enrique,7,6,71,テンコウ,Tenkou,4,3,71,テンコウ,Tenkou,6,3,71,テンコウ,Tenkou,3,4,71,テンコウ,Tenkou,7,4,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,134,0,Must not lose,0,Can escape,58
58,False,3,0,Vyse,4,7,1,Aika,6,7,2,Fina,3,6,4,Enrique,7,6,71,テンコウ,Tenkou,4,3,71,テンコウ,Tenkou,6,3,71,テンコウ,Tenkou,3,4,71,テンコウ,Tenkou,7,4,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,134,0,Must not lose,0,Can escape,58
59,False,2,0,Vyse,3,8,1,Aika,5,8,2,Fina,2,9,5,Gilder,6,9,75,デ式レーダー,Destroyer,4,2,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,108,0,Must not lose,0,Can escape,-1
60,False,2,0,Vyse,3,8,1,Aika,5,8,2,Fina,2,9,5,Gilder,6,9,75,デ式レーダー,Destroyer,3,2,75,デ式レーダー,Destroyer,5,2,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,108,0,Must not lose,0,Can escape,-1
61,False,2,0,Vyse,3,8,1,Aika,5,8,2,Fina,2,9,5,Gilder,6,9,75,デ式レーダー,Destroyer,4,2,75,デ式レーダー,Destroyer,3,3,75,デ式レーダー,Destroyer,5,3,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,108,0,Must not lose,0,Can escape,-1
62,False,2,0,Vyse,3,8,1,Aika,5,8,2,Fina,2,9,5,Gilder,6,9,75,デ式レーダー,Destroyer,3,2,75,デ式レーダー,Destroyer,5,2,75,デ式レーダー,Destroyer,2,3,75,デ式レーダー,Destroyer,6,3,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,108,0,Must not lose,0,Can escape,-1
63,False,2,0,Vyse,5,6,1,Aika,4,7,2,Fina,6,7,-1,None,-1,-1,24,デシェレト,Magma Tiki,3,2,24,デシェレト,Magma Tiki,7,2,24,デシェレト,Magma Tiki,5,3,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,66,1,May try again,0,Can escape,-1
64,False,2,0,Vyse,5,7,1,Aika,4,8,2,Fina,6,8,-1,None,-1,-1,24,デシェレト,Magma Tiki,5,2,24,デシェレト,Magma Tiki,3,3,24,デシェレト,Magma Tiki,7,3,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,66,1,May try again,0,Can escape,-1
65,False,3,0,Vyse,5,7,1,Aika,6,7,2,Fina,4,8,4,Enrique,7,8,105,ベレーザ兵,Red Guard,4,3,105,ベレーザ兵,Red Guard,7,3,105,ベレーザ兵,Red Guard,3,2,105,ベレーザ兵,Red Guard,8,2,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,134,0,Must not lose,0,Can escape,-1
66,False,4,0,Vyse,4,8,1,Aika,6,8,2,Fina,2,9,3,Drachma,8,9,108,ヒュドラ巨兵,Hydra Elite,4,1,108,ヒュドラ巨兵,Hydra Elite,2,4,108,ヒュドラ巨兵,Hydra Elite,6,4,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,162,1,May try again,1,Cannot escape,-1
67,False,3,0,Vyse,4,6,1,Aika,5,6,2,Fina,3,6,4,Enrique,6,6,106,工作兵,Elite Guard,3,3,106,工作兵,Elite Guard,4,3,106,工作兵,Elite Guard,5,3,106,工作兵,Elite Guard,6,3,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,150,0,Must not lose,0,Can escape,-1
68,False,3,0,Vyse,4,6,1,Aika,5,6,2,Fina,3,6,4,Enrique,6,6,106,工作兵,Elite Guard,3,3,106,工作兵,Elite Guard,4,3,106,工作兵,Elite Guard,5,3,106,工作兵,Elite Guard,6,3,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,150,0,Must not lose,0,Can escape,-1
69,False,20,0,Vyse,4,8,1,Aika,6,8,2,Fina,2,9,3,Drachma,8,9,121,エルシアン,Elcian,5,2,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,210,1,May try again,0,Can escape,-1
70,False,20,0,Vyse,4,8,1,Aika,6,8,2,Fina,2,9,4,Enrique,8,9,121,エルシアン,Elcian,5,2,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,210,1,May try again,0,Can escape,-1
71,False,20,0,Vyse,4,8,1,Aika,6,8,2,Fina,2,9,5,Gilder,8,9,121,エルシアン,Elcian,5,2,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,210,1,May try again,0,Can escape,-1
72,False,6,0,Vyse,4,8,1,Aika,6,8,2,Fina,3,7,3,Drachma,7,7,198,ルピー,Rupee,5,2,208,バーツ,Barta,5,4,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,42,1,May try again,1,Cannot escape,-1
73,False,6,0,Vyse,4,8,1,Aika,6,8,2,Fina,3,7,3,Drachma,7,7,199,ルピー,Rupee,5,2,209,バーツ,Barta,5,4,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,58,1,May try again,1,Cannot escape,-1
74,False,6,0,Vyse,4,8,1,Aika,6,8,2,Fina,3,7,3,Drachma,7,7,200,ルピー,Rupee,5,2,210,バーツ,Barta,5,4,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,82,1,May try again,1,Cannot escape,-1
75,False,6,0,Vyse,4,8,1,Aika,6,8,2,Fina,3,7,3,Drachma,7,7,201,ルピー,Rupee,5,2,211,バーツ,Barta,5,4,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,102,1,May try again,1,Cannot escape,-1
